State,Date,Min_Temp,Max_Temp,Min_Pressure,Max_Pressure,Min_Humidity,Max_Humidity,Min_windspeed,Max_windspeed,Min_PM(2.5),Max_PM(2.5),Infected,Recovered,Mortality,Tested
Meghalaya,10/1/2020,25,35,1002,1006,72,92,3,6,23,50,5802,4001,51,153177
Meghalaya,10/2/2020,23,34,1003,1007,70,91,1,3,,,6033,4226,52,153177
Meghalaya,10/3/2020,24,34,1004,1008,74,84,3,6,2,46,6456,4319,54,153177
Meghalaya,10/4/2020,24,35,1005,1008,65,91,1,3,,,6566,4393,54,153177
Meghalaya,10/5/2020,19,35,1005,1008,66,88,4,6,10,37,6767,4491,59,160779
Meghalaya,10/6/2020,24,33,1007,1009,81,95,4,5,7,49,7037,4606,60,163061
Meghalaya,10/7/2020,26,32,1007,1011,80,92,1,3,,,7165,4694,60,164879
Meghalaya,10/8/2020,25,34,1007,1011,70,91,6,7,,,7261,4832,60,167265
Meghalaya,10/9/2020,26,35,1007,1011,65,94,1,6,7,40,7388,4903,61,169449
Meghalaya,10/10/2020,26,36,1004,1008,70,92,3,6,7,35,7544,5045,62,171415
Meghalaya,10/11/2020,27,36,1003,1006,70,92,1,4,8,50,7683,5142,63,171415
Meghalaya,10/12/2020,25,36,1004,1007,64,92,3,6,11,54,7771,5273,64,174756
Meghalaya,10/13/2020,25,35,1005,1008,68,90,7,9,7,50,7838,5406,65,176348
Meghalaya,10/14/2020,25,36,1004,1008,68,91,4,6,,,7991,5582,70,178894
Meghalaya,10/15/2020,26,36,1004,1008,66,90,2,3,11,66,8164,5646,73,178894
Meghalaya,10/16/2020,25,36,1005,1007,64,92,3,4,4,46,8303,5736,75,183808
Meghalaya,10/17/2020,25,35,1005,1008,68,82,5,11,9,65,8404,6034,75,185467
Meghalaya,10/18/2020,26,36,1005,1010,72,94,1,2,12,71,8508,6282,75,185467
Meghalaya,10/19/2020,25,35,1005,1008,70,92,1,5,,,8536,6392,75,188256
Meghalaya,10/20/2020,24,34,1006,1009,70,93,3,6,18,76,8593,6497,76,189783
Meghalaya,10/21/2020,24,35,1006,1010,69,95,2,6,15,61,9621,6674,77,191590
Meghalaya,10/22/2020,32,34,1005,1009,74,92,5,12,2,42,8720,6981,78,193190
Meghalaya,10/23/2020,23,26,1006,1007,92,95,4,7,,,8801,7092,79,194818
Meghalaya,10/24/2020,22,26,1005,1009,87,97,7,10,1,18,8884,7228,80,194818
Meghalaya,10/25/2020,23,31,1009,1013,72,94,3,4,7,38,9020,7332,81,198343
Meghalaya,10/26/2020,24,33,1009,1012,72,96,3,4,6,49,9068,7471,81,198343
Meghalaya,10/27/2020,22,33,1008,1012,71,95,,,9,50,9138,7643,82,198790
Meghalaya,10/28/2020,23,33,1009,1013,74,93,1,3,7,52,9228,7777,85,199611
Meghalaya,10/29/2020,24,33,1009,1014,70,87,6,7,4,32,9305,7890,87,200391
Meghalaya,10/30/2020,23,33,1008,1013,63,93,7,13,3,30,9382,8125,87,201296
Meghalaya,10/31/2020,23,31,1009,1013,82,93,3,4,,,9452,8345,88,202056
